S,V
88.2186,0.065888
87.9604,0.0630794
88.2164,0.0407089
88.7444,0.039337
89.1631,0.0383415
90.29,0.0382362
89.8533,0.0408648
90.1091,0.0352495
90.5675,0.0378713
90.2977,0.0433391
89.3966,0.0501677
89.6353,0.047029
89.7629,0.0297802
89.8305,0.0251966
90.1008,0.0261187
90.3396,0.0347574
90.7196,0.0454854
90.2054,0.0478923
89.7488,0.0491652
90.9494,0.0337592
92.2247,0.0389905
92.9871,0.0389746
92.9239,0.0486315
93.2444,0.0443633
93.9529,0.0495844
93.4956,0.0396722
93.1002,0.0441809
92.6034,0.0434202
92.2042,0.0410108
92.1274,0.0261882
91.7646,0.0144469
91.3307,0.0337298
91.8567,0.0327133
92.178,0.0332918
91.1538,0.0351055
91.8902,0.0338305
91.3294,0.0323516
92.2621,0.026362
93.3255,0.0182124
93.186,0.0240021
92.8641,0.0204692
92.4053,0.0283467
93.0444,0.0244775
92.9701,0.0260032
93.5129,0.0185877
92.9881,0.0238746
93.44,0.0168401
94.0121,0.0182689
93.7417,0.027976
94.1989,0.0158779
94.6557,0.0164273
94.4551,0.0176517
94.2672,0.0210917
94.7537,0.0177671
94.8926,0.0251886
94.8813,0.0301914
95.1081,0.0172535
95.3532,0.01935
95.3014,0.0247728
95.8403,0.0160942
95.3912,0.0259924
94.7407,0.0407529
95.049,0.0364088
94.7939,0.0220146
93.7389,0.0347674
93.51,0.0306678
93.8165,0.031679
93.6117,0.0435421
93.6897,0.0376248
93.9925,0.0311463
93.2273,0.0487493
94.0212,0.0298633
94.7724,0.0300354
94.5576,0.0255259
94.1977,0.0276697
94.6099,0.024028
94.9696,0.00833826
95.4252,0.00853435
95.3945,0.0120187
95.2858,0.0158518
95.0635,0.0282865
95.3027,0.0145798
95.8267,0.0107191
96.394,0.0141819
96.0782,0.0242817
95.8859,0.0212328
96.2792,0.013649
96.4487,0.0134194
97.045,1e-08
97.0455,0.00747087
97.2726,0.00975935
96.8159,0.0190222
96.0838,0.0182577
95.944,0.0168337
95.8119,0.0280418
96.4277,0.0237466
96.4496,0.0255419
97.273,0.0250178
97.255,0.027495
96.7213,0.0316469
96.6195,0.0299342
97.8913,0.0205735
97.3095,0.0141562
97.07,0.0281444
97.212,0.0154278
97.1069,0.0276592
95.8256,0.0305533
95.3942,0.0346544
95.2192,0.0353846
96.3802,0.0313429
95.9173,0.0347342
95.4879,0.0364154
95.2304,0.0389659
94.8156,0.0491944
95.3491,0.0433403
95.1697,0.0539838
95.3045,0.0410549
95.7312,0.0408155
96.5685,0.0439422
97.1372,0.0379719
96.6998,0.042443
96.9244,0.0370561
97.2384,0.0336092
95.7907,0.0574655
96.0855,0.040329
95.5748,0.0576751
95.6198,0.0554115
96.4532,0.0435025
96.7609,0.0373446
97.5455,0.0144652
96.8084,0.0309334
97.6135,0.0175701
98.0967,0.0133343
98.005,0.0256359
97.854,0.0237512
97.9068,0.0314744
97.7172,0.0383849
97.0348,0.0346384
97.6097,0.0313978
97.6347,0.0401213
98.8884,0.0428115
98.9314,0.0363689
100.168,0.021886
100.373,0.0276723
100.41,0.0362554
100.807,0.0299886
101.428,0.0186118
101.054,0.0226339
102.039,0.0224206
101.784,0.0270212
101.049,0.0497804
102.072,0.031271
102.134,0.0233276
102.156,0.0343698
101.11,0.0288211
100.98,0.0297063
100.654,0.0283291
100.828,0.0204978
101.409,0.0210998
100.381,0.0279197
100.116,0.0371895
100.15,0.0230999
99.8636,0.0293284
99.5917,0.0263237
99.5902,0.0358623
100.657,0.0318872
100.949,0.0150605
101.397,0.0221635
101.13,0.021032
100.505,0.0206362
