S,V
100,0.05
99.2191,0.0583885
99.0907,0.0712355
98.7085,0.048711
100.075,0.0411379
99.9352,0.0534329
99.3447,0.06088
100.426,0.0311889
101.721,0.0284961
102.199,0.0266679
102.64,0.029783
102.034,0.0311251
101.467,0.0501781
101.052,0.0588518
100.413,0.0430603
99.5767,0.0622218
99.302,0.0545105
99.2192,0.0569845
98.3946,0.0641413
100.278,0.0412521
100.78,0.0411966
100.942,0.043989
100.005,0.0567629
99.3426,0.0580029
99.631,0.039202
99.9485,0.0348902
99.8318,0.0420984
101.71,0.0396644
101.432,0.0331161
101.479,0.042781
100.816,0.0400258
101.136,0.0364076
100.251,0.0475003
100.332,0.0648153
99.089,0.0506842
98.5803,0.0528638
99.8737,0.0440127
99.8409,0.0429133
99.7463,0.0381254
100.402,0.0266883
100.625,0.0193943
100.603,0.021519
100.41,0.0279752
100.729,0.0268009
100.705,0.0319402
101.407,0.0320355
101.519,0.0376304
100.869,0.0336826
100.07,0.0378787
100.194,0.0462215
100.388,0.0328457
100.14,0.0267795
100.916,0.0345257
100.531,0.0326027
101.091,0.0143201
101.946,0.020616
102.294,0.0216008
101.56,0.0356754
101.241,0.0333831
101.821,0.0336205
102.659,0.0278618
101.809,0.0323683
101.78,0.0279035
101.543,0.0228255
101.391,0.0286808
101.668,0.0332002
101.882,0.0291584
101.303,0.0391573
101.087,0.0400874
100.915,0.0412106
102.177,0.0329471
102.616,0.0281914
102.254,0.0379531
101.629,0.0432515
101.182,0.0414693
100.658,0.0319918
101.02,0.018559
100.472,0.0284566
100.775,0.0324103
100.568,0.0248442
100.315,0.0301074
99.2776,0.0429873
98.2103,0.0469384
97.5642,0.0441552
96.7247,0.0437476
96.3447,0.0418599
96.4316,0.0381882
96.7814,0.0440492
97.0437,0.0504271
97.3499,0.0557464
97.9136,0.049856
97.2142,0.0565147
97.208,0.0595843
97.8434,0.0485682
97.3511,0.0701189
97.2867,0.0495744
96.9008,0.060712
96.5507,0.0883429
97.4107,0.0714376
98.485,0.0491903
97.3012,0.061531
97.8209,0.0537797
99.1498,0.051902
99.3373,0.0721677
98.4321,0.0775113
98.0883,0.0741199
96.2258,0.074904
96.145,0.0643934
95.8422,0.072374
94.8559,0.0714479
94.1892,0.072979
94.2,0.0674573
94.3374,0.0570695
95.4448,0.042814
96.6143,0.0447504
96.9999,0.0507185
97.6691,0.0369763
98.4922,0.0365724
97.3391,0.0540248
98.0003,0.0545081
97.5033,0.046699
97.5177,0.0363648
97.5316,0.0383517
97.2608,0.0398177
98.1546,0.0272857
98.5963,0.0294141
98.7135,0.0319859
98.4626,0.0329378
97.593,0.0239247
97.7422,0.0284286
98.1638,0.0365683
99.1622,0.023097
98.9344,0.0260894
98.8806,0.04312
100.514,0.0325586
101.15,0.0370325
100.811,0.0237812
101.025,0.0255223
100.866,0.0357177
100.645,0.0432106
100.991,0.0201214
100.845,0.0311389
100.417,0.0461804
100.334,0.0438631
100.843,0.0450858
100.068,0.0629587
99.3991,0.0570131
99.3585,0.0535734
98.5584,0.0532768
98.2314,0.0553496
96.9456,0.0595937
96.2191,0.0704977
95.8869,0.0471097
95.6146,0.0720396
95.2093,0.0644514
94.9529,0.0853217
94.3201,0.0625588
94.5893,0.0661354
94.9537,0.0492885
94.5248,0.0607896
94.4728,0.0597054
94.607,0.0588884
95.1889,0.0639336
94.9883,0.0654022
95.2888,0.0666538
95.1982,0.0792854
94.9691,0.0739976
93.1221,0.0980616
94.6241,0.0681692
93.8024,0.0864794
94.8513,0.0818576
96.3169,0.0723867
96.0037,0.0734729
96.0333,0.0732498
96.042,0.075806
96.1782,0.0743247
96.277,0.0831804
96.2425,0.0964934
96.7444,0.108989
96.6787,0.115339
97.2503,0.10342
98.2374,0.109042
99.0842,0.0739381
98.6332,0.085157
98.4306,0.0986285
99.4385,0.0578873
98.3897,0.0832109
99.209,0.0671939
100.239,0.0622977
101.654,0.0566164
101.472,0.0692701
100.994,0.0671999
99.8658,0.0749302
98.4884,0.0720066
98.2001,0.0763707
97.8107,0.0665222
98.2901,0.0662278
99.2005,0.054588
100.361,0.049593
100.429,0.0561035
99.8914,0.067634
99.6409,0.0599837
99.4483,0.0672774
99.7038,0.0769705
99.8248,0.0763009
100.383,0.0836424
99.0201,0.079912
98.8017,0.0820855
96.9337,0.0820743
96.8623,0.0848599
96.9556,0.0996449
98.9929,0.0780622
99.2374,0.0708756
99.9164,0.0865369
100.207,0.0708244
100.216,0.0793591
101.206,0.0506704
101.223,0.0658554
101.412,0.0880278
101.47,0.0695885
103.852,0.0523628
103.739,0.0729358
102.87,0.0667652
103.492,0.0818702
104.228,0.0793969
105.08,0.0902525
104.771,0.101399
106.897,0.0583248
107.244,0.0783395
108.763,0.0853938
108.651,0.0809698
108.757,0.0698294
108.224,0.0699257
108.45,0.0587249
108.159,0.0507101
110.843,0.035541
110.78,0.051455
111.016,0.0316034
110.573,0.0588739
110.071,0.0801352
109.243,0.0709865
109.491,0.0524049
110.116,0.0436396
108.636,0.0744739
107.945,0.0727707
109.351,0.0664081
108.624,0.067396
108.484,0.0813755
109.517,0.060469
109.693,0.0783196
110.352,0.0588001
109.913,0.0637795
110.161,0.0558103
111.571,0.057029
111.518,0.0638134
110.65,0.0936866
110.321,0.0821402
109.053,0.0978
109.357,0.0786324
108.98,0.0951955
109.672,0.0595005
109.422,0.0657259
108.751,0.0667077
109.256,0.0608466
108.608,0.0725317
108.794,0.04873
108.768,0.0727964
109.588,0.0776857
109.167,0.0578824
108.736,0.0700657
108.901,0.0921301
109.624,0.0839095
109.934,0.0714886
110.611,0.0915349
108.459,0.105835
107.268,0.0927407
108.09,0.106137
107.281,0.0834046
107.343,0.0901381
107.677,0.100535
107.018,0.0798216
107.086,0.0816305
107.378,0.0808296
105.671,0.104092
106.055,0.100377
104.436,0.0914277
104.726,0.0901445
104.566,0.0903735
104.742,0.0776692
105.043,0.0900926
104.267,0.0778585
104.325,0.0778836
102.914,0.0838662
102.527,0.0801804
103.217,0.0898393
104.285,0.0653067
104.833,0.0647578
105.077,0.0718989
105.306,0.0528151
105.889,0.0637834
105.165,0.0871825
105.404,0.0865853
105.481,0.0632886
106.839,0.0496538
107.055,0.069457
108.61,0.0518608
108.481,0.0592651
107.345,0.0690973
106.981,0.0739342
108.278,0.0613652
106.986,0.0901254
108.305,0.0633483
108.645,0.0832657
108.51,0.0756101
110.169,0.0631414
110.452,0.059574
109.145,0.0836339
108.925,0.0728622
108.902,0.0659925
108.453,0.0542336
108.389,0.0546807
107.859,0.0629666
106.78,0.094849
106.407,0.0845821
105.063,0.101686
105.497,0.0927777
107.554,0.0894322
107.479,0.101793
107.785,0.0911329
107.094,0.0889561
107.319,0.0853414
106.44,0.0979417
105.769,0.0869985
104.922,0.0801593
