S,V
100,0.05
99.7237,0.0394806
98.2112,0.0524736
99.0842,0.0535836
98.2668,0.0558134
99.048,0.0476492
98.6404,0.0430297
97.6006,0.0563014
97.1489,0.0762201
95.2174,0.10789
96.0412,0.0928821
95.1613,0.0810635
95.2968,0.0651623
95.6342,0.0713327
95.843,0.0872561
95.7512,0.0930003
95.7994,0.0650919
96.0057,0.0725321
95.9705,0.0636
97.4045,0.0331321
97.62,0.0530487
96.9573,0.06305
95.6751,0.0737966
95.7295,0.0624314
95.6271,0.0568192
95.2005,0.0805473
94.2849,0.067472
93.9455,0.0751539
93.0212,0.0789097
93.3616,0.0863616
92.691,0.0729733
92.2112,0.0628372
92.6819,0.0507542
92.6608,0.0596409
92.7035,0.0644541
92.8375,0.0564153
93.0681,0.0782246
94.3445,0.0725428
92.4755,0.0908294
92.2317,0.0857061
91.2062,0.0850076
89.4079,0.0895739
87.7285,0.102604
87.8221,0.0966906
86.9023,0.099382
86.5249,0.0993191
87.0054,0.0887375
86.9713,0.0821201
85.7743,0.0778867
85.7311,0.0951192
85.672,0.074614
87.3678,0.0795234
88.3943,0.0656012
87.0004,0.0840762
87.0716,0.0834386
85.87,0.0775862
85.689,0.0753223
86.8559,0.0596035
86.2738,0.0754967
84.5778,0.102417
85.1139,0.076809
84.1166,0.090127
84.2149,0.0686601
83.7954,0.0780911
83.8883,0.0738514
83.7098,0.0684167
84.2534,0.0583474
83.5708,0.0762581
82.9751,0.0653935
83.0319,0.074036
83.7002,0.0605811
84.4321,0.074606
84.3647,0.0848239
85.5143,0.0713595
85.2045,0.0828799
85.164,0.0781368
84.4322,0.0709269
85.0773,0.0528176
85.4857,0.0537506
84.9056,0.0606894
84.7725,0.0524068
84.7046,0.0543007
85.1485,0.0740892
84.5282,0.0789286
84.586,0.0710718
85.0945,0.066644
86.3416,0.0471384
86.1221,0.0482492
85.7566,0.0651658
86.1517,0.0703955
85.1721,0.0800371
84.6983,0.0750325
86.3709,0.0418231
86.1068,0.0671304
86.6945,0.0468994
85.3487,0.0660965
85.2693,0.0795449
84.3415,0.0990001
83.6256,0.0836329
84.1346,0.0616059
85.1076,0.0666212
86.3908,0.0567181
86.4612,0.0641871
86.9654,0.057686
86.6523,0.0617275
87.0203,0.0445509
86.9576,0.0490527
87.5716,0.0524008
88.5413,0.0431404
88.3906,0.0510262
87.9975,0.0585349
88.1069,0.0614289
88.8302,0.0647678
88.9222,0.0502833
88.9142,0.0340077
89.2887,0.0342959
88.7757,0.0349079
88.7451,0.0296938
88.4828,0.0447958
88.6643,0.03323
88.9092,0.0414141
89.0003,0.0517906
88.7718,0.0520429
89.042,0.0363924
88.5919,0.0447283
88.053,0.0543788
87.7408,0.0645118
88.131,0.0435525
88.4437,0.0469499
88.1552,0.0433887
87.8809,0.0520915
87.3594,0.052822
87.5806,0.0480729
87.9624,0.0409425
87.7332,0.0333051
87.2706,0.0359577
86.4749,0.0435676
86.6906,0.0454188
86.7378,0.0257926
87.4576,0.0345816
87.7996,0.0395264
87.4827,0.0555435
