S,V
100,0.05
99.4423,0.0651891
99.8693,0.0327854
100.942,0.0292383
100.822,0.0352388
100.682,0.0334187
101.336,0.0350674
101.63,0.0503304
101.969,0.0466747
101.862,0.0504851
103.267,0.0187202
103.538,0.0244865
103.883,0.0317311
103.668,0.046353
104.14,0.0318333
103.527,0.0481426
102.655,0.045506
103.393,0.0166741
104.618,0.0229422
104.45,0.0339606
104.248,0.0467231
104.046,0.0496555
104.975,0.0206876
105.5,0.0110045
105.258,0.022627
104.653,0.0327184
105.687,0.0395734
107.309,0.0280499
106.661,0.0362147
106.524,0.0443749
105.848,0.0421876
106.023,0.0447761
106.43,0.0512145
107.268,0.0470355
107.533,0.0538181
107.074,0.0485083
107.459,0.044015
107.54,0.0397159
108.059,0.0248584
108.238,0.0289994
107.736,0.0242505
109.512,0.0186717
109.781,0.0239057
110.038,0.0223181
108.843,0.0358602
108.77,0.0430371
108.662,0.0402054
109.843,0.0214189
110.557,0.00613042
110.206,0.0191163
109.717,0.0220945
109.851,0.019855
110.398,0.0165188
110.704,0.022812
111.323,0.0193328
111.344,0.0246832
112.187,0.029379
112.029,0.0336603
111.159,0.0243606
111.007,0.034733
110.484,0.0276758
111.258,0.0310471
111.223,0.0291972
110.55,0.0337944
110.782,0.026186
111.084,0.0361339
112.022,0.0294101
110.98,0.0365722
111.632,0.0357691
111.759,0.0362371
111.165,0.0523199
110.421,0.0473942
109.771,0.0427293
109.128,0.054543
109.279,0.0418338
108.707,0.0269495
108.296,0.0363182
109.024,0.0232476
109.011,0.0260067
108.693,0.0398994
109.675,0.0245878
109.253,0.03159
109.812,0.0196904
110.001,0.0231953
110.031,0.0282219
110.162,0.0245001
110.638,0.0329483
111.366,0.0339777
110.575,0.037457
110.716,0.0352479
110.589,0.0324448
111.718,0.0234347
111.824,0.0237401
112.097,0.0227559
111.582,0.0362411
111.48,0.0212393
111.625,0.0186082
111.617,0.0255545
111.864,0.0252579
111.946,0.0292713
113.211,0.0202785
112.608,0.0364599
112.441,0.0385614
113.735,0.0269815
113.932,0.0156755
113.043,0.0205362
114.048,0.0134185
114.116,0.0155251
113.801,0.0264202
113.335,0.0468203
114.507,0.0366455
113.464,0.0531718
113.042,0.0443967
113.875,0.038841
114.699,0.0377978
115.619,0.0383295
116.302,0.0361756
116.523,0.0357382
117.678,0.0298666
117.884,0.03475
118.774,0.0326401
119.454,0.027498
119.592,0.0469751
120.633,0.0428225
121.782,0.0351167
122.154,0.0275061
123.032,0.026412
123.924,0.019324
124.252,0.0275533
125.104,0.0256061
124.868,0.0216934
124.818,0.00903024
125.168,0.020613
125.135,0.0195968
124.096,0.0314311
124.785,0.0220988
125.076,0.0222642
125.043,0.0164758
124.392,0.01657
124.863,0.00922623
125.181,0.021346
125.351,0.00563418
124.806,0.0172928
125.607,0.0161605
124.72,0.020406
124.897,0.0216713
124.07,0.0335171
122.36,0.0453319
122.886,0.0262628
123.096,0.0259203
123.164,0.0191952
123.17,0.0174539
123.229,0.0270165
124.227,0.0165781
124.125,0.0175937
122.615,0.0299798
122.359,0.025163
121.287,0.0402319
120.853,0.0468364
120.04,0.0578468
120.198,0.03023
120.017,0.0350651
120.674,0.0208499
121.018,0.0267282
122.03,0.0256347
122.915,0.0263971
122.977,0.0305368
122.508,0.0324182
122.07,0.0348571
121.288,0.0396492
120.56,0.0509114
121.709,0.0467918
121.436,0.0407746
121.386,0.0341716
121.237,0.0271589
120.423,0.0335889
118.885,0.0406957
117.867,0.0464654
116.695,0.0362703
117.266,0.0375866
118.003,0.0357122
116.933,0.0493678
116.111,0.0607469
117.163,0.0387088
115.8,0.0426873
116.523,0.0320191
117.225,0.0379403
118.262,0.0238796
119.557,0.0172488
119.314,0.0254935
119.409,0.0365477
119.481,0.0233642
119.43,0.0316486
119.23,0.0426264
117.567,0.0388311
118.07,0.0555344
118.035,0.0554241
119.191,0.0448802
119.16,0.0491085
118.347,0.0431431
118.748,0.0364174
119.188,0.0407668
119.814,0.0361327
118.881,0.051622
118.028,0.0516614
117.899,0.0607612
117.203,0.0600321
116.808,0.0778871
116.793,0.0341832
118.164,0.0357901
118.657,0.0414283
120.624,0.0325429
120.462,0.0430127
119.664,0.0634453
118.957,0.0607161
117.93,0.0616353
119.066,0.0577985
119.28,0.0351655
118.274,0.0514024
116.798,0.0577214
117.643,0.0610388
117.562,0.0584202
119.561,0.0476285
118.493,0.0529098
118.361,0.0511081
118.162,0.0475117
117.447,0.0549584
118.369,0.0582473
115.811,0.0724432
115.886,0.0625113
114.696,0.0693725
114.791,0.057365
114.727,0.0635943
115.326,0.0579255
114.297,0.0545571
112.399,0.0730731
113.426,0.0426629
112.953,0.05019
113.192,0.0390964
112.773,0.0467702
111.495,0.053628
111.249,0.05169
110.502,0.0552898
110.578,0.0633066
111.518,0.0682558
112.891,0.045273
113.396,0.0623676
113.875,0.0380459
114.043,0.0420511
113.823,0.0466293
114.028,0.0583505
113.396,0.0720224
112.17,0.0728408
112.63,0.063639
112.128,0.0664941
112.593,0.0507975
112.85,0.0500715
111.772,0.0531195
110.828,0.0579535
110.847,0.0561455
110.27,0.0653355
109.079,0.0787575
107.779,0.0753711
108.341,0.0500401
109.276,0.0433304
109.733,0.0568281
109.761,0.0582628
109.641,0.052359
110.119,0.052076
110.04,0.0567205
110.989,0.0483579
109.999,0.0519738
109.868,0.067772
110.078,0.0613893
108.69,0.0525041
108.64,0.0532634
108.935,0.0519349
108.095,0.0580519
108.55,0.0642357
107.504,0.0792056
107.007,0.0684593
108.003,0.066807
108.649,0.0563729
108.15,0.0676432
109.749,0.04795
109.441,0.0483381
108.573,0.0711559
108.383,0.0662808
107.689,0.0677771
107.67,0.0640239
108.223,0.041205
108.741,0.0267217
108.19,0.0408714
107.79,0.0495689
107.672,0.0490528
108.179,0.0432348
107.511,0.0409775
107.802,0.0434003
107.364,0.0445382
108.335,0.0280753
108.577,0.0400273
108.54,0.0314862
108.585,0.0360535
109.353,0.0329917
109.367,0.0232567
109.293,0.0281986
109.186,0.0471944
109.043,0.0536132
109.706,0.0458282
110.274,0.0318835
110.078,0.0329478
110.614,0.0492004
110.725,0.0621985
111.821,0.0318724
112.195,0.0478305
113.561,0.0476928
113.94,0.0390417
113.28,0.0514245
111.33,0.059541
110.956,0.0617946
110.932,0.0466388
111.019,0.0470841
111.248,0.0480643
111.212,0.0368766
110.423,0.0410715
110.858,0.0482356
110.295,0.043942
109.373,0.0556651
110.916,0.0207109
111.228,0.0337562
109.967,0.034962
110.443,0.0163523
110.429,0.0280787
110.518,0.0320894
110.81,0.0246579
111.245,0.0299231
112.509,0.0250159
111.908,0.0370189
111.374,0.0478328
110.047,0.0710709
109.75,0.0627417
110.207,0.0531434
111.462,0.0485901
111.456,0.0479925
111.447,0.0386844
111.006,0.0499445
112.441,0.0403399
111.761,0.0660689
