S,V
100,0.05
101.484,0.0398228
102.05,0.0404828
101.66,0.0403571
101.82,0.0440386
101.675,0.0439949
102.236,0.0417483
102.076,0.0451816
102.872,0.0464213
102.238,0.0473754
101.899,0.0508878
101.202,0.0541895
101.993,0.0573048
102.271,0.0583388
102.168,0.0570369
100.7,0.0604319
102.061,0.0576621
101.088,0.0571799
102.071,0.0554523
101.402,0.0562188
101.69,0.055288
101.792,0.0554318
101.669,0.0613508
101.701,0.0559936
103.202,0.0530125
102.236,0.0533547
102.969,0.0482352
102.706,0.0546047
103.64,0.0509244
103.579,0.0510733
103.005,0.0517572
103.18,0.0471071
104.864,0.0407451
105.476,0.0390477
105.96,0.0386194
105.795,0.0412636
105.648,0.0447456
105.312,0.0433602
106.289,0.0421018
105.768,0.0406969
106.131,0.039995
105.321,0.0414879
106.197,0.0381212
106.112,0.0415308
106.389,0.0442204
106.279,0.0458602
105.338,0.0477801
105.786,0.0453374
106.065,0.042569
106.099,0.0454627
104.951,0.0478162
104.743,0.0499596
104.446,0.0462278
104.257,0.0472537
103.771,0.0443094
104.142,0.041838
104.773,0.0407712
104.982,0.0399973
106.349,0.0394272
105.971,0.0401324
105.456,0.0443134
105.311,0.0436123
105.927,0.0454301
106.81,0.047963
107.796,0.0455588
107.668,0.0498544
106.816,0.0533044
106.813,0.0518193
105.595,0.0488825
105.516,0.0457179
104.284,0.0437509
104.779,0.0448955
104.874,0.0388871
103.767,0.0410799
103.416,0.0408813
103.014,0.0428134
102.756,0.0426556
102.523,0.0417511
103.178,0.0428813
102.536,0.0469099
102.02,0.0480428
103.585,0.0464455
104.122,0.0448574
104.007,0.0430582
103.822,0.043671
105.402,0.0397607
105.196,0.0447581
106.28,0.0451251
107.267,0.0416858
107.079,0.0410712
106.203,0.0423656
106.203,0.0420994
106.073,0.0422274
105.309,0.0435226
104.675,0.045086
104.719,0.0416868
104.603,0.0397857
105.609,0.037401
105.596,0.036869
105.189,0.0426083
105.695,0.0439455
105.537,0.040489
105.2,0.0450058
105.011,0.046451
105.031,0.0473397
104.623,0.0454644
105.932,0.0413517
104.946,0.0430391
105.23,0.0433117
106.462,0.0388863
106.517,0.0426613
107.581,0.0357061
106.278,0.0374186
107.006,0.0387039
106.268,0.0426313
105.475,0.0454822
105.285,0.0492325
105.581,0.0414721
105.503,0.0398952
104.507,0.0424155
104.569,0.0429439
104.594,0.0464982
105.371,0.044243
104.251,0.0432462
103.186,0.0512948
103.436,0.0564607
102.918,0.0526977
102.324,0.0523082
102.884,0.0519384
102.672,0.0514255
103.394,0.0479808
102.669,0.0526598
103.566,0.0517538
103.481,0.0532251
102.834,0.0565141
102.383,0.0576307
101.692,0.0591928
101.059,0.0593102
100.869,0.0612281
100.393,0.0597586
100.925,0.0593567
100.006,0.0606207
100.248,0.0579384
100.589,0.0574123
99.537,0.0550964
98.7496,0.0539515
97.8152,0.0624467
97.8662,0.067201
98.2385,0.0620885
97.6978,0.0598338
96.6953,0.0611404
98.115,0.0582966
98.9315,0.0585592
99.6413,0.0581398
99.7602,0.0540908
99.5382,0.055968
99.4635,0.05388
99.3843,0.0557278
100.168,0.0464806
100.789,0.0470248
101.317,0.0435573
101.921,0.0470375
103.528,0.039091
102.659,0.0426918
102.477,0.0416201
101.469,0.0430571
102.279,0.0447094
102.105,0.045906
102.135,0.0476344
102.193,0.0497226
102.007,0.0510744
102.941,0.049722
103.269,0.0498322
101.277,0.0554264
101.669,0.0530698
102.489,0.0549457
102.921,0.0567531
102.156,0.0550253
101.693,0.0564675
101.193,0.0578221
100.643,0.0576695
100.21,0.0555212
100.749,0.0570083
100.423,0.0588745
99.3122,0.0615694
99.4989,0.0571873
99.5369,0.0546396
99.2558,0.0576338
100.518,0.0571335
101.216,0.0549453
100.207,0.0482792
100.122,0.0486782
100.599,0.0456853
100.074,0.0490815
99.0374,0.0512554
100.88,0.0454707
100.67,0.0486026
101.626,0.0428909
101.936,0.0402131
102.218,0.0393777
101.868,0.0378188
101.698,0.0362402
101.134,0.0395241
100.872,0.0425625
102.259,0.0388534
102.094,0.0377491
102.107,0.0398037
102.28,0.0388303
102.083,0.0392435
101.612,0.0353665
101.792,0.0350667
102.386,0.0346143
102.055,0.0370737
101.843,0.0333156
101.446,0.0383173
100.924,0.0392305
101.029,0.0416477
100.331,0.0408346
100.45,0.0467499
101.379,0.0410051
101.447,0.0356087
100.899,0.0423791
101.435,0.0476773
100.248,0.0545566
100.77,0.0537259
101.393,0.0483765
101.325,0.0516086
101.7,0.0468867
100.345,0.0590106
101.557,0.0596679
102.518,0.0575222
101.635,0.0596237
101.961,0.0619848
100.874,0.0532886
101.199,0.0510945
103.047,0.0452519
102.692,0.046108
101.825,0.044721
102.652,0.0476633
103.381,0.0436686
103.428,0.0480367
103.172,0.0459132
102.794,0.0491081
102.727,0.0532415
102.581,0.0556154
