S,V
100,0.05
99.1675,0.0760892
99.8445,0.0383793
99.9372,0.043688
100.349,0.0353752
100.012,0.0388814
99.8192,0.0458577
100.736,0.0539037
100.786,0.0628148
99.9269,0.0713634
99.0937,0.0777006
98.81,0.0681346
99.5433,0.0566693
99.9464,0.0459537
99.5705,0.0647974
99.5722,0.0668881
100.855,0.0419174
99.6969,0.0547173
98.705,0.0601695
98.2768,0.0847969
96.7056,0.0815425
98.0269,0.0782431
97.9015,0.0779091
97.8156,0.0874485
96.949,0.0980825
96.1963,0.0763872
95.6687,0.0674476
95.0479,0.0779133
94.6653,0.0853274
93.9329,0.083532
94.1364,0.075051
94.1984,0.0493959
93.7146,0.0741049
93.1664,0.0577561
92.6481,0.0728844
93.1573,0.0582869
92.5803,0.0755707
92.1909,0.0724817
91.7887,0.0857237
90.9714,0.0620093
89.7449,0.0883266
89.8892,0.116643
89.953,0.0929764
90.5718,0.0773071
90.4326,0.0685057
90.3703,0.0751037
89.0734,0.0769905
88.2018,0.0862962
87.4195,0.0900859
89.2456,0.0554419
89.0482,0.0694626
90.2035,0.0457749
90.7708,0.0503525
91.0029,0.0393838
90.8668,0.0567566
90.9868,0.0534814
91.0593,0.0399336
91.645,0.046019
91.5543,0.0629661
91.9624,0.0666093
91.938,0.0644651
91.4478,0.0634802
92.4159,0.0700282
91.8399,0.0729802
92.4012,0.0573787
92.1808,0.0449056
92.254,0.0442469
91.663,0.0413148
91.8482,0.0542904
91.754,0.0341365
92.0186,0.0431686
92.0883,0.0494784
92.1876,0.0392518
91.3191,0.0691288
92.2027,0.0347427
92.2637,0.0367174
92.1467,0.0416761
93.1672,0.0481749
91.801,0.0600881
91.032,0.0631774
91.0773,0.0605223
90.8703,0.0609885
90.5245,0.063752
90.36,0.0548507
89.2995,0.0536856
88.8989,0.0585045
89.5805,0.0494664
89.533,0.0384427
89.8211,0.0368785
89.7563,0.0417827
90.3883,0.0203
90.576,0.03396
90.7354,0.0262768
90.2644,0.0314562
90.3229,0.0522472
90.2037,0.0481276
90.2383,0.0320636
90.2768,0.031563
91.2322,0.0388689
90.4054,0.0480108
90.8826,0.041407
90.9548,0.0523621
91.5404,0.0556297
90.5628,0.0592892
91.6868,0.0475448
91.9366,0.0467982
92.1584,0.056853
91.9651,0.0430284
92.5469,0.0426258
93.2668,0.039765
93.2977,0.0376637
92.4525,0.0466286
91.9785,0.0472994
92.4899,0.0484677
92.9025,0.0566011
93.416,0.0527997
92.1919,0.0612435
91.7851,0.0465682
90.6659,0.0603668
89.9265,0.0673888
89.3467,0.0562876
89.1985,0.0629738
89.8091,0.0499092
90.2167,0.0438827
90.615,0.0339901
90.8533,0.0437112
90.1092,0.0405465
90.8433,0.0361634
90.344,0.0531659
90.2343,0.0450934
90.6039,0.0593327
90.9369,0.0594896
91.5654,0.0564461
90.3051,0.0673008
89.6846,0.0638164
88.5947,0.0720825
87.3496,0.060408
86.4303,0.0837461
85.4363,0.0977307
84.6566,0.0715333
85.1727,0.068335
85.0547,0.073187
83.6775,0.0931359
84.1594,0.0845811
83.8351,0.0922057
83.926,0.071045
84.0016,0.0830731
82.8229,0.0819011
83.63,0.0589166
82.6167,0.0845286
83.3882,0.0680497
83.6316,0.065752
83.627,0.0601177
84.1863,0.0738255
85.1964,0.0748055
85.9628,0.0519984
85.8169,0.0585891
86.0738,0.0384356
87.1461,0.0417719
87.1179,0.0550931
87.1786,0.0476048
86.8647,0.0560352
87.1286,0.0587851
85.7533,0.064885
86.557,0.0491995
87.3775,0.0403453
86.0989,0.0555236
84.9924,0.0667408
85.0016,0.0642529
85.8975,0.0690407
85.7228,0.0531458
85.793,0.0675682
86.016,0.0669425
84.7308,0.0549083
83.9124,0.0640973
