S,V
100,0.05
100.118,0.0434081
99.3289,0.0627029
98.9182,0.0490526
97.7011,0.0569745
97.6033,0.0705195
98.9399,0.0495183
98.5663,0.0624438
98.5317,0.0608481
98.4011,0.0750802
96.8108,0.0633837
96.2028,0.0831698
96.2628,0.0814993
96.0342,0.0718423
94.8603,0.0978663
95.7111,0.0730848
96.7925,0.0499525
96.9772,0.065201
95.8759,0.0674357
98.0623,0.0560084
96.7296,0.0713067
97.4323,0.0665995
96.9181,0.0594934
96.5198,0.0566148
95.8948,0.0619281
96.0245,0.0469177
95.7367,0.0530389
94.6811,0.0637241
94.3654,0.0659792
94.67,0.0631296
94.7455,0.0735295
94.4817,0.0827446
94.4007,0.0723678
94.9062,0.0753426
93.8976,0.0819465
93.1654,0.0899078
92.1619,0.0788372
93.156,0.0676911
94.4492,0.0484648
93.4898,0.0734785
92.6574,0.0715202
91.8839,0.08351
91.6079,0.0592752
91.4704,0.0773579
91.8202,0.0744417
91.108,0.0607242
90.7113,0.0677091
89.7969,0.0936488
90.0464,0.0684877
87.9149,0.0822661
87.0597,0.108479
85.9268,0.111996
84.4597,0.10078
83.9118,0.0902591
83.6123,0.0899932
83.1949,0.0732251
84.1438,0.0852812
84.6579,0.0834016
85.098,0.103142
83.753,0.11467
83.7197,0.0869221
82.9416,0.0857298
81.8528,0.0851347
82.1069,0.0724084
82.6635,0.091933
81.3837,0.106784
81.3239,0.0989923
81.0294,0.101196
81.0691,0.118125
79.3544,0.125406
80.3781,0.101722
78.6462,0.12575
80.1843,0.0920588
80.4299,0.0918863
80.3079,0.115275
80.6595,0.113972
80.9829,0.113223
80.5942,0.103582
79.2571,0.103632
79.2619,0.118507
80.6202,0.114333
79.4921,0.120923
78.9036,0.11626
78.4741,0.0871392
78.0017,0.0981136
77.0178,0.0970501
78.4462,0.0849688
78.9177,0.100306
78.8098,0.106697
78.5062,0.0792236
78.612,0.0734056
79.9504,0.080918
78.7579,0.0948037
78.8239,0.0906179
78.8067,0.0982294
78.3115,0.0997165
78.7107,0.0876176
78.4747,0.0662073
79.5275,0.072511
80.3322,0.0636644
80.0838,0.0906602
79.9423,0.0787879
80.7177,0.0713746
81.7713,0.0560554
80.9994,0.0640364
81.7992,0.0651131
82.085,0.0667345
82.9219,0.0818938
82.5965,0.0807208
83.2116,0.0857861
82.9573,0.0895171
82.8387,0.0852197
82.3775,0.0839442
81.8886,0.0906029
80.2652,0.104444
81.1678,0.0787157
81.5929,0.0676076
82.1131,0.059775
81.898,0.0659241
81.0077,0.077757
81.9418,0.0780155
82.3197,0.068767
82.2554,0.0808463
83.4403,0.0532781
83.0688,0.0620533
83.4672,0.0784379
82.7502,0.0840362
84.9742,0.0685561
85.3219,0.0780423
85.0724,0.0867085
84.7924,0.0800152
84.523,0.0745721
84.3423,0.073134
84.5155,0.0693955
84.6313,0.0712898
84.684,0.0887497
84.9629,0.107686
86.1574,0.0783482
84.3487,0.0967002
84.139,0.092012
83.4147,0.116346
84.559,0.0880906
84.4202,0.0960687
84.7085,0.0800535
84.1261,0.0884961
83.4811,0.0836701
84.1947,0.0652866
84.8317,0.0754895
84.6507,0.077971
85.415,0.0681209
85.051,0.0551572
85.9128,0.0464499
84.9591,0.0601255
84.7139,0.0663951
