S,V
100,0.05
98.9858,0.0670969
99.1013,0.0624465
99.3447,0.0523724
98.8438,0.0700622
97.913,0.0807104
98.6026,0.0907824
99.2325,0.0966116
100.005,0.0864463
98.5088,0.0907071
97.7991,0.0948475
98.4033,0.0713427
99.2587,0.0645146
98.8818,0.0622134
99.0982,0.0735474
99.3149,0.0545966
98.9626,0.0741974
98.2385,0.081677
99.2078,0.0683694
100.269,0.0635317
102.055,0.056762
101.887,0.0467846
101.18,0.0479507
101.296,0.042351
101.577,0.0468006
101.35,0.0414459
101.962,0.033766
101.835,0.0342606
101.467,0.0449904
102.558,0.0434619
103.169,0.042164
102.88,0.0298769
102.289,0.0406276
102.982,0.0385246
102.224,0.0316872
102.488,0.0351919
102.555,0.042132
103.157,0.0415172
102.752,0.0415717
102.883,0.0400797
102.626,0.0380881
102.725,0.0421209
101.57,0.0486657
100.883,0.0515861
100.658,0.0594827
100.609,0.0467502
101.042,0.0552961
100.049,0.0618552
99.5588,0.0765621
99.273,0.0804987
100.441,0.0741697
101.094,0.0725054
100.719,0.0710288
100.428,0.0719768
99.5833,0.0998392
100.095,0.0965677
101.558,0.0813395
100.975,0.0865438
100.799,0.0867496
101.562,0.0831917
102.672,0.0639534
103.035,0.0627831
103.333,0.0689769
102.912,0.0701331
104.267,0.0576023
103.698,0.0567855
103.802,0.0516932
102.795,0.0488003
101.873,0.056328
100.897,0.0525082
101.431,0.0433879
102.721,0.0466216
103.272,0.0605276
103.375,0.0668239
105.029,0.0574426
105.949,0.0552959
105.423,0.0513659
105.535,0.0551797
107.437,0.0376859
107.145,0.0467525
107.162,0.0493438
105.967,0.0591699
107.07,0.0613709
107.341,0.0709296
106.558,0.0776708
106.792,0.0789568
107.613,0.0637902
107.662,0.0727067
106.717,0.0801591
105.858,0.0938775
105.918,0.0768544
106.955,0.0804898
107.696,0.0727531
107.034,0.0596674
108.072,0.0502063
108.212,0.0600842
109.533,0.0549125
108.47,0.0623288
108.624,0.070798
108.58,0.077384
108.962,0.0617497
109.118,0.0624643
108.173,0.084083
107.36,0.0855187
107.308,0.0519222
