S,V
100,0.05
101.758,0.0340048
101.502,0.0318434
101.368,0.0221699
101.591,0.0411168
103.021,0.0236463
103.248,0.0175879
103.142,0.0265985
102.514,0.0396013
102.633,0.0389722
103.889,0.0215692
103.822,0.0278926
103.732,0.0238491
103.604,0.0443362
104.261,0.0393357
103.992,0.0392036
103.834,0.0441205
104.483,0.0342787
105.227,0.0309049
104.459,0.0391638
103.263,0.0184333
103.382,0.0161309
102.566,0.0239483
102.024,0.0296348
102.267,0.031497
100.809,0.0469584
100.723,0.0423968
99.3302,0.0407725
100.006,0.0338971
99.5221,0.0196716
100.02,0.0238925
100.968,0.0181276
100.105,0.0200429
99.0575,0.0380941
98.8767,0.0394458
98.6111,0.0313637
98.4349,0.0247159
98.2312,0.0303599
98.3684,0.025634
98.2356,0.0408576
97.6298,0.0489131
97.9384,0.0284041
98.5293,0.0265289
98.9557,0.0359892
96.9422,0.0575235
97.5769,0.04793
97.5815,0.0337199
98.1648,0.0245688
97.7795,0.0271557
98.9321,0.017989
99.6112,0.024826
98.9829,0.0197919
98.2109,0.0382186
99.4658,0.0189126
98.6813,0.0252184
97.803,0.0341694
97.2921,0.0461233
97.3102,0.0303031
97.445,0.0288593
97.3309,0.0357753
97.7563,0.0219611
97.3589,0.0258736
96.4081,0.0366101
96.5216,0.0365027
96.2294,0.0467895
96.5774,0.0512955
97.8407,0.0357185
97.5373,0.0412776
97.1991,0.0440217
98.0534,0.0386859
98.1074,0.0389385
98.836,0.0401405
98.943,0.0350981
99.1358,0.0417879
99.7665,0.0191915
100.027,0.0285026
100.107,0.0213058
99.7014,0.0346109
100.207,0.0242699
100.104,0.0243947
101.007,0.0133765
100.913,0.0235995
100.313,0.0265842
100.657,0.0236281
100.708,0.0200312
101.332,0.016374
101.652,0.0147653
101.505,0.0273447
101.995,0.0180196
102.182,0.00992206
102.577,0.00636842
102.554,0.0119902
101.994,0.0158433
101.925,0.0246437
101.515,0.0475165
100.888,0.0365276
101.852,0.025607
101.079,0.0409899
101.521,0.0433501
101.064,0.0470498
101.157,0.0361118
101.958,0.0263705
100.943,0.0341096
100.215,0.029079
100.332,0.0281997
100.577,0.0284666
100.46,0.0288903
101.113,0.0375427
101.681,0.0340011
101.194,0.0224846
100.806,0.0272715
101.027,0.0159951
101.022,0.0293421
100.998,0.0332638
101.535,0.0240446
100.611,0.024565
101.037,0.0135476
101.178,0.0190145
100.666,0.0352375
100.428,0.0425016
100.48,0.0319588
100.36,0.0352977
100.41,0.0386202
100.15,0.0367887
99.3284,0.0442911
99.0846,0.0327908
100.307,0.0293464
99.3474,0.0380791
99.7512,0.0265172
99.0824,0.0285672
99.3285,0.0329664
98.8188,0.0251901
99.2424,0.0334004
98.1075,0.0320242
97.9427,0.0355514
98.3133,0.0328925
98.0693,0.0278044
97.6235,0.027296
97.6967,0.0326039
98.1014,0.0168006
98.4121,0.0186833
98.0192,0.0196741
97.5437,0.0277733
96.9232,0.0300656
96.9058,0.0264355
96.7239,0.0291574
96.8007,0.0308517
96.4643,0.032369
96.6759,0.0380448
97.0627,0.023585
97.0241,0.0335962
95.8725,0.041388
96.3933,0.0260115
96.3144,0.0248459
96.4251,0.0209778
96.6109,0.0256232
96.6628,0.0184762
96.9744,0.0291655
95.9679,0.0368234
96.9307,0.0236418
97.1482,0.0337267
97.1771,0.0259901
97.6438,0.0296499
98.099,0.0283475
98.0449,0.0291166
98.2693,0.0243798
98.6134,0.0306697
97.979,0.0258733
98.0668,0.0344526
98.1773,0.0331509
97.9247,0.0480005
98.0819,0.0506551
97.5063,0.0342391
98.1313,0.0267424
98.3107,0.0379131
97.7599,0.036137
97.0071,0.0509898
98.6574,0.0305595
97.9657,0.0359485
99.3872,0.0105233
99.1079,0.0245912
98.7824,0.027476
99.1909,0.0117887
99.4317,0.0173616
99.4862,0.0201862
99.8929,0.0053511
99.7015,0.0114167
99.0108,0.0181061
98.7365,0.0177313
98.0319,0.0226878
98.2178,0.0268157
97.9221,0.0217416
97.8045,0.0293671
97.7598,0.0187798
97.4604,0.0180679
97.8986,0.0169628
98.4497,0.0265024
99.6002,0.0154272
99.2179,0.0252431
98.8907,0.027411
98.2842,0.0222511
98.6344,0.0200691
98.0859,0.0329196
98.3595,0.0249064
98.7008,0.0243417
99.3224,0.0175638
99.6384,0.0186501
99.6636,0.0185061
99.3056,0.0141072
99.3432,0.0163943
99.1899,0.0342531
100.182,0.0104017
99.8099,0.0244265
100.223,0.0231318
100.38,0.0231915
100.623,0.0175739
99.5137,0.0261696
98.6638,0.0328471
98.0258,0.0424248
96.9015,0.0238378
96.9896,0.0260508
96.4599,0.0215442
96.8961,0.020538
97.0627,0.0141291
97.1784,0.00888161
97.3308,0.0162914
97.6962,0.0202357
97.7439,0.0311696
97.2295,0.045361
97.153,0.0360396
95.7851,0.0367349
95.246,0.0461196
96.2752,0.0285085
97.1735,0.0283117
97.4607,0.0284744
97.0199,0.0312569
96.7832,0.0369287
96.4475,0.0424234
96.3866,0.0374248
96.1358,0.0474114
95.5374,0.0582433
95.0356,0.0569525
94.4485,0.0674033
93.4771,0.0584366
93.8986,0.0523877
93.7991,0.0566938
93.6008,0.0481256
93.7637,0.044862
94.8614,0.0383275
95.0727,0.039737
94.8762,0.0430837
94.6135,0.0477713
95.3733,0.0386734
95.6024,0.0346757
95.4974,0.0185746
95.547,0.0237164
95.6127,0.025591
95.7995,0.0241419
95.8517,0.0153968
96.2922,0.0130476
96.6393,0.0114091
96.0446,0.0216333
96.424,0.0136293
95.9629,0.0257975
95.9506,0.0354079
95.2605,0.0441074
95.5228,0.0319348
93.9585,0.0431466
92.7527,0.0471801
91.862,0.0400661
92.7059,0.041879
92.567,0.0443194
93.266,0.0362663
92.6633,0.0264815
93.2429,0.033112
92.6833,0.0427582
93.511,0.0411714
92.0255,0.0582124
92.4356,0.0478324
92.5537,0.0402845
92.048,0.0413069
92.1744,0.0532385
91.2516,0.0451081
90.7277,0.0413549
91.0104,0.0409356
90.5737,0.0492289
91.3561,0.0479979
90.7039,0.0492613
92.0882,0.0362846
91.796,0.0335936
92.084,0.0347525
92.795,0.0147767
92.6438,0.0322439
93.2914,0.0473249
94.0554,0.0463655
94.0401,0.0539973
93.3887,0.0527587
93.1765,0.0452945
94.183,0.0375378
94.9615,0.0164303
94.9214,0.0213524
95.7382,0.0153039
95.9339,0.0177978
95.4657,0.029238
96.0889,0.0227534
96.4695,0.0169653
96.9331,0.0161975
96.1532,0.0361349
95.8993,0.0228981
96.1438,0.0332899
96.5205,0.0185669
96.8833,0.0152717
96.5366,0.0258127
97.1388,0.0201982
97.2704,0.0103841
97.2658,0.0118567
97.9427,0.0128462
98.4589,0.011983
98.2907,0.0128628
98.3622,0.0179386
98.2143,0.017876
98.0947,0.0275689
97.6551,0.0212419
98.6759,0.018509
99.5924,0.0104001
99.503,0.0160982
99.4242,0.0134144
99.1204,0.0149139
99.799,0.00292908
99.8463,0.0117695
99.8448,0.012805
99.4408,0.0138214
99.3443,0.0195331
98.617,0.0263934
98.0341,0.0259898
98.5325,0.0238607
98.23,0.0357278
97.9838,0.0237432
98.1897,0.0190469
97.4408,0.0194978
97.754,0.0167411
98.0943,0.0110113
98.5996,0.0131132
98.028,0.0163908
98.1393,0.0198841
97.6818,0.0246363
97.375,0.030701
97.1268,0.0309373
96.4828,0.0365074
96.8661,0.0335654
97.7924,0.0253697
98.2457,0.0250062
98.6538,0.0236037
98.6694,0.0148844
98.7231,0.0132482
99.014,0.016938
98.877,0.0225483
97.7831,0.025921
98.3509,0.0206521
98.313,0.0231386
98.1297,0.0256996
97.9282,0.0279531
97.8888,0.0206628
98.7267,0.015649
98.6647,0.015449
98.4915,0.018284
99.4386,0.015036
99.638,0.0144322
99.4894,0.00827207
99.4742,0.0190789
99.2041,0.023517
99.9925,0.0174406
100.91,0.00550759
100.796,0.00768841
100.72,0.00890763
100.443,0.0104378
100.653,0.00566609
100.534,0.00979235
100.065,0.0162943
100.028,0.0174704
100.245,0.0149643
100.371,0.0235854
99.7957,0.0242366
99.8583,0.00617571
99.2306,0.0130296
99.3168,0.012211
99.6862,0.0147579
100.033,0.0173318
99.9705,0.00948675
99.9853,0.0152301
99.9965,0.0146848
99.9673,0.0171037
99.266,0.0178644
99.2902,0.0165212
99.6757,0.014554
99.6364,0.0222221
99.9058,0.0177267
99.72,0.0224532
99.6507,0.0259786
99.8709,0.0212938
99.9145,0.0195562
100.276,0.0194945
100.395,0.0237891
100.514,0.00466529
100.645,0.0119559
99.9095,0.0153267
99.4319,0.0239951
99.1503,0.031708
99.3451,0.0178254
99.5789,0.021981
99.2489,0.0275799
99.0457,0.0161309
99.2181,0.0117233
99.2772,0.0192078
99.1422,0.0202033
98.3299,0.0324999
99.3586,0.0103886
99.5293,0.00938758
98.9441,0.0212914
99.5232,0.00453246
99.3238,0.00957863
99.0264,0.0123125
98.6169,0.0193331
99.1196,0.00236756
99.0059,0.00726335
99.0253,0.0128241
99.3258,0.0161228
99.7344,0.00993386
99.547,0.0146388
99.0497,0.0201703
99.3634,0.0210211
98.4933,0.027334
98.7183,0.0303516
98.6196,0.0274391
98.4414,0.0236191
98.1943,0.0308762
98.1242,0.0264328
97.8127,0.0278747
97.9898,0.0242106
97.9098,0.0194736
97.8825,0.0333866
97.2913,0.0267674
98.1134,0.0113626
97.6882,0.0253112
98.2918,0.0204542
98.0735,0.023217
97.1771,0.0447619
97.2149,0.0595206
96.3167,0.0681737
95.4593,0.0546052
95.675,0.0475044
94.5518,0.0649825
95.2342,0.0518046
94.9312,0.0627953
94.86,0.0518032
95.752,0.0450094
95.247,0.0389546
95.5007,0.027932
94.7859,0.0471718
95.4568,0.03841
95.9142,0.0420687
96.393,0.0266102
96.9263,0.026306
96.5214,0.0362803
96.9977,0.0334304
97.0693,0.0294707
97.3586,0.0194217
97.7516,0.0215133
97.5671,0.0294617
96.9982,0.0273393
97.4488,0.0211473
96.9857,0.0174013
97.525,0.0220661
97.0465,0.0210893
96.9914,0.0321438
97.567,0.0179876
97.8724,0.0226422
98.0469,0.0170023
98.3065,0.0253454
99.0031,0.0254789
98.7209,0.0305783
98.1186,0.0400236
98.4833,0.0303085
98.6198,0.005865
98.3495,0.0189291
98.4309,0.0218364
98.9794,0.0183808
99.2515,0.0236398
99.2429,0.0168353
99.1557,0.0270928
99.5013,0.0335036
98.8878,0.0481881
98.8452,0.0388391
98.3903,0.045391
98.6401,0.0241113
98.4122,0.0283722
98.4767,0.0240598
98.3828,0.0203056
98.113,0.02084
98.4052,0.0231044
98.8639,0.0186238
98.2176,0.021025
