S,V
82.0071,0.0801124
80.9058,0.108755
82.5347,0.0819779
82.9849,0.106896
83.1872,0.104576
83.064,0.109097
83.5632,0.117356
84.1541,0.0910635
83.9006,0.10079
83.9846,0.124516
83.7544,0.0865957
83.0326,0.113276
82.1518,0.128735
81.6154,0.14323
81.1954,0.12726
82.8978,0.115362
82.8841,0.115351
81.4442,0.119034
80.3292,0.119174
80.2577,0.0886771
81.302,0.0807713
81.7909,0.0744067
82.7375,0.0816584
83.727,0.0737049
84.5476,0.0789641
84.4526,0.111307
84.127,0.106264
86.4127,0.101997
85.0154,0.122486
86.1091,0.0889853
85.6197,0.0846354
85.5562,0.0820928
84.1014,0.102715
82.8261,0.0884151
82.8358,0.0730747
83.5541,0.0760855
83.1285,0.0905678
83.9637,0.0831195
83.7238,0.0841622
83.1052,0.0789773
83.1,0.0899544
82.5654,0.117541
82.908,0.112766
82.5216,0.108059
82.9848,0.10811
83.3492,0.103712
81.9643,0.115475
81.7242,0.112159
82.2705,0.13062
82.7022,0.118337
82.1514,0.104666
82.475,0.0984139
82.0626,0.0989063
82.0798,0.0852751
82.4026,0.0900291
82.6901,0.080252
82.5255,0.0746067
82.339,0.0859834
81.2422,0.0769164
81.654,0.0797884
82.093,0.081702
82.6403,0.0741438
82.1843,0.0864392
82.4081,0.0888984
83.4839,0.0981435
83.1359,0.0951488
83.5813,0.109078
81.8592,0.115094
81.134,0.102852
81.6412,0.0943927
82.8366,0.0944511
81.7932,0.116651
83.3348,0.107845
82.2882,0.137953
83.2173,0.110804
81.7162,0.107919
81.1412,0.116937
82.2232,0.0776489
81.8445,0.0946735
81.9805,0.0810212
82.2189,0.0909018
82.5906,0.0679712
82.3552,0.0875101
81.6987,0.105723
81.8064,0.115054
81.5236,0.101704
81.7155,0.112164
82.6471,0.106554
82.7522,0.0957362
83.5766,0.0868772
83.6111,0.0859342
84.6103,0.108339
85.4046,0.079594
84.5676,0.102362
83.7572,0.103422
83.6294,0.0681168
82.871,0.0809025
81.3028,0.0979428
81.3121,0.0936077
