S,V
100,0.05
100.211,0.0523819
101.124,0.0484615
100.886,0.0571997
101.827,0.0460068
101.567,0.0514804
101.765,0.0431889
102.627,0.0320187
103.488,0.0241882
102.941,0.0344061
102.367,0.0422874
101.982,0.0446042
102.074,0.0514279
101.636,0.0401565
102.467,0.0423638
101.772,0.0480709
102.266,0.0525971
102.48,0.0609913
102.892,0.0470843
102.486,0.0549243
102.336,0.0556773
102.711,0.0582593
101.809,0.0515966
101.831,0.051087
102.204,0.0558121
101.846,0.0713128
101.022,0.0639641
101.037,0.0692609
101.205,0.042522
101.108,0.0525887
100.216,0.0625588
100.515,0.073897
100.508,0.0461288
99.7495,0.0615249
101.071,0.0540627
101.388,0.0462655
102.057,0.0466713
101.315,0.0536117
100.569,0.0672073
101.03,0.0775584
102.018,0.0544379
101.85,0.0586198
100.394,0.062389
99.1087,0.0767837
99.4825,0.0570072
99.5987,0.0534368
99.3437,0.0459054
98.704,0.0569205
98.2287,0.0764723
98.0819,0.0852383
97.0546,0.0642787
97.8594,0.0608218
97.9553,0.0797718
98.1963,0.0563267
98.484,0.0497465
97.0417,0.0570306
96.8742,0.071994
97.6943,0.0602592
98.24,0.076292
98.6352,0.0679606
98.6622,0.063128
98.0454,0.0699511
98.3444,0.0648855
98.6892,0.0674809
99.6885,0.04316
99.6244,0.062166
99.4523,0.0661893
98.7934,0.0767906
99.4004,0.0815503
99.303,0.0845072
100.11,0.0542706
100.771,0.0423609
99.7346,0.0523772
100.59,0.047763
101.707,0.0339411
101.799,0.0469096
101.543,0.0459741
102.126,0.0473975
101.559,0.0474882
102.537,0.0393186
103.274,0.0280264
102.374,0.0432078
102.783,0.036064
101.967,0.0606286
100.93,0.0322259
99.9069,0.05611
100.818,0.05953
100.33,0.0611967
100.809,0.0545174
102.111,0.0490769
101.183,0.0555799
99.9236,0.0490105
99.7583,0.0538184
99.3644,0.0563575
99.8219,0.0400071
99.3161,0.02848
98.8393,0.0462927
98.3013,0.0531628
98.7126,0.0427323
99.1936,0.0303507
99.8821,0.0322201
99.277,0.0428882
98.6369,0.0625375
99.3844,0.0465217
100.364,0.0230366
100.145,0.0275113
100.122,0.0351243
99.1763,0.0502744
99.744,0.0484623
98.6449,0.0649794
98.3708,0.0433505
97.2082,0.0437677
97.3577,0.0407596
97.6983,0.0644877
97.6615,0.0759199
97.5345,0.0736147
96.9599,0.102778
97.742,0.0718256
97.3887,0.0765517
97.3509,0.0842274
97.554,0.0751664
96.2131,0.0636278
95.6929,0.0816678
97.0945,0.0621328
96.9318,0.0653498
96.4619,0.0787639
97.2115,0.0812794
96.6054,0.102927
97.146,0.104004
94.6037,0.0958449
94.8713,0.0775497
94.8192,0.0850558
94.706,0.0822934
93.4771,0.103244
92.6951,0.102884
93.8037,0.0732586
93.6893,0.0679682
94.3366,0.088716
94.0031,0.0798424
95.0991,0.0553685
95.5845,0.0702932
94.9634,0.0839496
95.4493,0.0552803
96.595,0.062509
96.3285,0.0644356
96.8463,0.0584543
96.8058,0.0589824
96.3398,0.073365
96.861,0.0810293
96.4098,0.056304
96.2658,0.0427042
96.7914,0.0430687
97.0369,0.0395853
97.1931,0.0495928
98.6176,0.0502801
98.8999,0.0504985
98.1844,0.0491226
98.8053,0.0559427
97.8415,0.052181
97.7401,0.0478636
97.8473,0.0459501
98.153,0.0548222
96.3858,0.073096
95.7291,0.0519998
96.3091,0.0443708
96.7367,0.0379651
96.0227,0.0433213
97.4595,0.0240444
97.79,0.0262672
98.5035,0.0166441
98.6138,0.0273861
98.8842,0.0316957
98.5507,0.0424953
98.5812,0.0345687
98.5419,0.0429707
98.9406,0.0455657
97.7794,0.0514953
99.0083,0.0339357
98.6395,0.0446984
99.0855,0.0427211
99.8877,0.0315509
99.2719,0.0453601
98.9971,0.0536164
98.2617,0.0536809
98.153,0.0581734
97.7395,0.0646365
97.1525,0.056707
96.6543,0.0638227
96.2527,0.0608538
94.9566,0.0740747
96.3795,0.0581942
95.9254,0.07555
96.1736,0.0722582
94.1408,0.101699
93.8834,0.103476
93.1453,0.0871262
92.6098,0.0717158
92.7488,0.0602639
92.5624,0.0728009
92.1279,0.0913114
91.7092,0.081513
92.2874,0.0808572
92.1817,0.0848811
91.9078,0.0661017
92.6659,0.0796137
92.3458,0.0821478
92.0255,0.0807647
91.3314,0.0983334
90.8499,0.105053
91.2443,0.109704
90.945,0.0914874
90.5086,0.103179
90.0346,0.100393
91.7899,0.104125
91.6696,0.118958
90.8894,0.108061
91.769,0.117041
91.5167,0.124593
89.9644,0.100774
89.49,0.106193
89.805,0.090986
89.2031,0.111698
88.5627,0.0909443
89.0616,0.0754499
90.5258,0.0694748
91.9026,0.0725316
89.3892,0.0812876
89.4858,0.0823947
89.5609,0.079279
90.0084,0.0624312
89.1573,0.0846359
88.9154,0.0781489
88.0048,0.0781594
88.2054,0.0763201
87.3664,0.0770119
86.7776,0.0869947
86.4225,0.082058
85.8569,0.101243
86.5057,0.10979
87.1063,0.119973
86.2312,0.11243
87.5978,0.0884183
88.1408,0.0864228
88.3427,0.0890254
88.7535,0.0886113
88.5211,0.079739
88.6478,0.0850911
88.9862,0.0757528
88.0415,0.0781856
87.1109,0.0909539
85.499,0.104589
85.2095,0.0885312
84.9083,0.0708909
84.0029,0.0988886
85.4339,0.0736434
86.4621,0.0570761
86.5271,0.0632628
86.192,0.0843238
86.8923,0.0808184
86.2969,0.076664
86.1455,0.0757388
85.6634,0.0679291
85.4257,0.0350147
84.5867,0.0654772
86.273,0.0439374
87.0514,0.0458137
87.3151,0.0403228
87.5369,0.0356645
87.853,0.0476699
88.0187,0.0448463
88.4111,0.0475803
88.9795,0.0437252
88.7916,0.062108
88.1589,0.0641928
88.4021,0.06283
88.4937,0.0613705
86.5132,0.0989516
86.2145,0.0795705
86.5782,0.0908359
87.6209,0.0802735
88.1319,0.0717787
87.3466,0.0739298
87.6219,0.0916161
86.7175,0.100053
88.2702,0.0838346
87.2583,0.0886288
86.4085,0.0949948
85.7887,0.0743574
85.0592,0.0788341
86.4957,0.0814708
86.7935,0.0847813
86.0774,0.0867333
86.0241,0.104233
86.9163,0.0801247
87.6774,0.0748354
88.4502,0.066003
89.4053,0.0734314
89.3393,0.0661977
89.1583,0.0924568
91.1405,0.0775906
90.9137,0.0579771
89.6753,0.0763288
88.9149,0.0752722
87.5859,0.096132
88.177,0.106724
89.1131,0.073029
89.0812,0.0854708
89.5305,0.0701015
89.0131,0.0801845
88.335,0.0683547
89.1859,0.0589562
88.8765,0.0767186
89.6491,0.0623637
89.8268,0.067933
89.7333,0.0616455
89.6672,0.065576
90.2226,0.0696778
89.8444,0.0618904
90.8293,0.0489896
90.5338,0.0800569
91.2159,0.0650003
91.8521,0.0535805
90.6857,0.0689254
90.4294,0.0543926
89.8346,0.0764405
89.998,0.063236
90.21,0.0454108
90.5543,0.0368059
90.0375,0.0440952
90.5124,0.0467685
90.6398,0.0520832
90.8888,0.0528628
90.6271,0.0604153
90.0648,0.0701987
90.6549,0.0725453
91.0501,0.0899447
89.7093,0.102879
90.7825,0.0937453
90.8851,0.106357
89.8657,0.0996377
89.8392,0.0804798
89.2194,0.0668333
89.2664,0.0731754
88.3268,0.0710828
88.1602,0.0615944
88.8951,0.0823159
89.3402,0.0758759
89.865,0.0824207
89.175,0.0811022
89.9824,0.0703667
89.1501,0.0769013
89.053,0.0559923
88.761,0.0555763
88.7238,0.0756395
88.9599,0.0606065
88.8746,0.0851094
89.4063,0.0437606
89.4585,0.0581175
88.908,0.0626784
87.6215,0.0903367
87.3421,0.0782014
88.2992,0.0775364
88.4468,0.0715568
89.2361,0.0683913
88.8375,0.0846644
89.1484,0.0814907
89.447,0.0745659
89.5666,0.0740236
88.8596,0.0643941
87.9986,0.0843589
87.93,0.0849822
88.4546,0.088899
88.2655,0.0798061
88.1602,0.056471
88.0138,0.0534149
87.4502,0.0589127
86.5961,0.0816479
86.0488,0.0681757
85.4261,0.0696527
85.6396,0.0636506
86.0633,0.0693914
86.3342,0.0448608
85.9509,0.0618888
86.6877,0.0727646
86.2459,0.0707864
86.2299,0.0880419
86.2856,0.080418
86.1156,0.106955
85.3749,0.0999869
84.4956,0.0956971
83.0096,0.0943139
83.1329,0.100902
83.0858,0.0982242
84.4265,0.0824348
84.6375,0.0734098
85.4674,0.0732778
85.8236,0.0776931
85.2114,0.068252
83.4841,0.0749529
83.293,0.081185
83.3171,0.0832809
84.3381,0.0741276
84.8229,0.0713731
85.4138,0.0644466
84.1612,0.0665674
85.4297,0.080075
85.3995,0.0530767
85.8491,0.0589203
85.1508,0.0866449
85.147,0.0657068
83.2923,0.0753772
83.9124,0.0648465
84.3333,0.063581
83.6437,0.0775082
82.5257,0.0849308
82.5614,0.0727392
