S,V
100,0.05
100.364,0.047673
101.315,0.046891
101.228,0.0447299
100.893,0.0403908
100.298,0.0429459
100.192,0.0435688
99.9085,0.044423
99.8291,0.0433591
99.3244,0.0452246
99.3,0.0457574
99.2284,0.0489875
100.564,0.0445591
101.317,0.0377546
100.633,0.041442
100.874,0.0439311
100.101,0.0447873
99.6292,0.0474183
99.3858,0.0443069
99.4287,0.0431295
100.215,0.0410576
100.104,0.043243
100.888,0.0393107
102.581,0.0377337
103.62,0.0363847
103.673,0.0376636
104.132,0.0333467
103.823,0.0325096
103.66,0.0331707
103.185,0.0310817
103.575,0.0326799
103.677,0.034386
103.823,0.0359009
104.549,0.0342211
104.079,0.034991
104.84,0.0364316
105.244,0.0321263
105.883,0.0266317
106.312,0.0243645
106.487,0.023383
106.342,0.0216774
106.819,0.0211857
107.105,0.0244157
106.562,0.0266469
106.666,0.0240335
106.985,0.0241399
107.174,0.0255924
107.659,0.0221549
107.176,0.0235163
106.451,0.024755
106.849,0.0237098
106.402,0.0245105
106.645,0.0239529
106.114,0.0229663
105.48,0.025026
105.399,0.0293931
104.933,0.0287667
104.612,0.0287504
105.323,0.0231788
105.309,0.0236346
104.77,0.0267643
105.018,0.025054
105.199,0.0249296
105.072,0.0254314
105.638,0.027402
106.459,0.0208953
107.06,0.0239532
106.7,0.0246988
106.372,0.0271646
106.359,0.0282098
106.139,0.0314531
106.364,0.0301887
106.411,0.034426
106.947,0.0324418
106.368,0.0353951
107.063,0.0327626
105.56,0.0370277
106.156,0.0369292
106.592,0.0340629
106.839,0.0379033
106.495,0.0371387
106.739,0.0366883
107.063,0.0362052
107.178,0.0356844
106.498,0.0394312
106.568,0.0395273
106.415,0.0420756
107.178,0.0420307
107.992,0.0355955
107.288,0.0348804
106.78,0.0294655
106.557,0.0301982
105.907,0.0308348
106.472,0.0317442
105.345,0.035247
105.437,0.0403981
104.436,0.0438278
104.721,0.043056
105.321,0.0413123
104.414,0.0464457
104.694,0.0479055
103.56,0.0501089
103.85,0.0532713
103.664,0.0482599
104.028,0.0481481
104.274,0.047077
105.385,0.0501835
104.938,0.0482785
103.669,0.050522
102.48,0.0491658
103.481,0.0436629
102.78,0.0429557
102.477,0.04585
101.972,0.0479644
102.301,0.0422449
101.961,0.0390896
102.085,0.0371416
102.004,0.0361588
103.238,0.0300017
103.919,0.0263262
103.994,0.026911
102.984,0.0302352
102.694,0.0332514
102.604,0.0363905
101.807,0.0374017
102.07,0.0351175
100.872,0.0349282
101.373,0.0320262
100.985,0.0370578
100.773,0.0339785
101.113,0.0338383
101.245,0.0385645
100.954,0.0432669
100.56,0.0442977
100.382,0.0428432
99.9851,0.0429705
100.705,0.0399143
100.388,0.0458458
