S,V
100,0.05
100.364,0.0494808
101.333,0.0492883
101.243,0.0487747
100.894,0.0477309
100.247,0.0482874
100.134,0.0483914
99.8354,0.0485541
99.7523,0.0482745
99.22,0.0486754
99.1946,0.048774
99.1207,0.049497
100.462,0.0485044
101.247,0.0468926
100.485,0.0477326
100.743,0.0482807
99.9337,0.0484512
99.4435,0.0490381
99.1964,0.0483264
99.241,0.0480259
100.069,0.0475046
99.9493,0.0479813
100.774,0.0470261
102.625,0.0465828
103.78,0.0461793
103.839,0.0464224
104.35,0.0452867
103.989,0.0449693
103.795,0.0450379
103.241,0.0443979
103.707,0.0447108
103.827,0.0450588
103.994,0.0453643
104.811,0.0448753
104.271,0.0449921
105.136,0.0452841
105.587,0.0441534
106.339,0.0426234
106.883,0.0418417
107.112,0.041392
106.918,0.0407156
107.575,0.0403787
107.971,0.0411845
107.26,0.0416825
107.391,0.0408303
107.808,0.0407139
108.055,0.0409911
108.673,0.0398947
108.018,0.0401419
107.064,0.0403603
107.575,0.0399354
106.99,0.0400314
107.301,0.0397471
106.613,0.0393347
105.78,0.0397987
105.677,0.0409128
105.124,0.0406745
104.742,0.0405922
105.588,0.0390383
105.569,0.0390418
104.874,0.0398171
105.176,0.0392615
105.403,0.0391217
105.243,0.0391571
105.946,0.0396037
106.937,0.0377792
107.748,0.0385534
107.287,0.0386556
106.874,0.0392433
106.858,0.0394466
106.596,0.0402346
106.851,0.0398743
106.905,0.0409094
107.492,0.0404072
106.842,0.0411078
107.595,0.0404612
105.917,0.0414854
106.55,0.0414584
107.014,0.0407759
107.284,0.0416875
106.922,0.0415089
107.181,0.041397
107.527,0.0412732
107.65,0.041136
106.916,0.0420161
106.989,0.0420452
106.83,0.0426381
107.601,0.0426496
108.424,0.041224
107.664,0.0410299
107.111,0.0396925
106.851,0.0398137
106.103,0.039915
106.746,0.0400898
105.477,0.0409193
105.576,0.0421344
104.553,0.0429264
104.835,0.0427866
105.433,0.0424237
104.514,0.043597
104.785,0.0439548
103.698,0.0444747
103.972,0.0451987
103.8,0.0442436
104.15,0.0442653
104.385,0.0440799
105.461,0.0447866
105.04,0.0444376
103.821,0.044958
102.697,0.0447243
103.654,0.0435965
102.952,0.0434485
102.647,0.0441025
102.15,0.0445868
102.469,0.0433903
102.123,0.0426754
102.253,0.0421991
102.167,0.0419302
103.498,0.0404098
104.29,0.0393701
104.381,0.0394105
103.155,0.0401966
102.821,0.0408921
102.72,0.0416135
101.867,0.0418233
102.145,0.0412605
100.846,0.0411748
101.39,0.0404314
100.953,0.0416306
100.728,0.0408783
101.1,0.0407981
101.246,0.0419092
100.942,0.0429896
100.549,0.0432352
100.374,0.0429367
99.9762,0.0429774
100.697,0.0423081
100.369,0.0436629
100.717,0.0433058
100.771,0.0450964
101.821,0.045145
102.455,0.0450355
103.166,0.0450438
103.306,0.0443755
103.627,0.0444992
103.935,0.0450087
104.347,0.0441466
103.862,0.0438726
103.784,0.0436712
104.552,0.0424206
105.625,0.0412598
106.497,0.0402249
105.343,0.0407565
106.238,0.0397593
106.184,0.0400322
107.121,0.0383809
108.246,0.038865
108.504,0.0384169
107.48,0.0391579
108.202,0.0389238
107.454,0.0396868
107.989,0.0389703
106.479,0.0400193
106.426,0.0387007
106.228,0.0384792
106.877,0.0379565
107.053,0.0379329
104.857,0.0382565
106.255,0.0381991
106.418,0.0379422
107.521,0.037603
107.847,0.0379267
107.886,0.0379414
107.631,0.0372952
107.476,0.0378391
106.701,0.0382281
105.74,0.0389221
105.615,0.0391405
106.323,0.0378646
107.547,0.0372085
106.971,0.0382614
106.197,0.0382033
105.919,0.0374881
104.684,0.0388436
105.185,0.0390674
105.667,0.0391418
106.171,0.0383085
104.566,0.0387787
104.017,0.0390758
103.83,0.0399042
104.085,0.0398093
104.015,0.039699
103.318,0.0404983
102.683,0.0404221
102.225,0.0414391
101.829,0.0415551
101.345,0.0416233
100.666,0.0422201
100.3,0.0416428
99.4368,0.0416309
98.3763,0.0419883
97.4284,0.0434438
97.1684,0.0432099
96.0684,0.0447396
96.7359,0.0444766
95.983,0.0446895
96.9667,0.0441181
97.8949,0.0432887
98.6909,0.0430326
98.3766,0.0433178
98.5214,0.0441799
99.0505,0.044009
99.5849,0.0442721
99.1623,0.0437075
98.6517,0.0435911
98.2145,0.0433158
98.5334,0.0433466
98.2563,0.0434879
98.1958,0.0442485
97.8235,0.0449794
98.7067,0.0447712
98.2738,0.0434802
99.0617,0.0434213
99.0929,0.0435229
99.9281,0.0440248
100.004,0.0434888
101.143,0.0431298
101.073,0.0436585
99.8213,0.0444087
100.251,0.0447542
100.153,0.0455062
99.8268,0.0457447
99.4197,0.0452772
100.032,0.0439108
101.387,0.0419912
102.376,0.0405176
102.741,0.0398413
103.832,0.0389048
104.528,0.0385969
104.757,0.0385316
104.413,0.0390304
103.566,0.0387475
103.25,0.0389304
103.58,0.0376142
102.845,0.0373265
102.28,0.0375833
103.524,0.0370471
102.858,0.0371737
102.372,0.0375097
102.569,0.0374294
102.604,0.0373972
103.61,0.0370144
103.689,0.0368462
103.985,0.0371629
104.558,0.0367028
104.413,0.0363183
104.776,0.0357464
104.915,0.0362998
104.362,0.0366068
103.611,0.0366037
103.365,0.0355855
104.713,0.0347877
105.056,0.0354267
105.928,0.0360916
106.609,0.0347307
106.426,0.0351836
106.802,0.0342845
106.788,0.0332412
106.015,0.033301
105.989,0.0339121
106.55,0.0337403
106.829,0.0336096
107.18,0.0338599
108.297,0.03349
108.243,0.0341423
108.646,0.0335001
109.726,0.0331187
110.209,0.033396
109.652,0.0336605
109.955,0.0334276
110.746,0.0322076
109.53,0.0337808
109.675,0.0330141
109.839,0.0326543
109.198,0.0329166
109.488,0.0334286
110.445,0.0327182
109.662,0.0328268
109.884,0.0328218
110.322,0.0328914
110.623,0.0330165
110.19,0.0329317
110.343,0.0332359
109.262,0.0341426
110.485,0.0333367
110.673,0.0335327
112.097,0.0332532
111.08,0.0347115
110.028,0.0345737
110.063,0.0341818
109.082,0.0347565
108.59,0.0340331
109.282,0.0341827
109.261,0.0350606
109.915,0.0351908
110.168,0.0348249
109.578,0.0354344
109.551,0.0362968
108.927,0.0366317
107.488,0.0368919
109.135,0.0361639
111.105,0.0347426
110.794,0.0356087
110.704,0.0356674
111.046,0.0363998
111.285,0.0369134
111.505,0.0367592
110.527,0.0369898
109.521,0.0378787
109.224,0.0378744
110.28,0.0377395
110.736,0.0381777
110.609,0.0379009
110.288,0.0378737
109.997,0.0377949
110.641,0.0372539
110.149,0.0369229
111.099,0.0356635
111.538,0.0350586
112.411,0.0349164
111.783,0.0350934
109.953,0.0351245
110.459,0.034982
109.463,0.0356805
109.006,0.0364307
108.532,0.0361782
107.567,0.0366697
107.846,0.0365242
107.96,0.0370547
108.057,0.036307
107.33,0.0360947
106.104,0.035964
106.824,0.0353351
106.46,0.0366716
106.205,0.0373647
106.66,0.0362804
107.833,0.0358595
109.653,0.0342307
109.641,0.0350471
109.176,0.0351104
109.057,0.0352257
108.865,0.0355815
108.946,0.0362795
109.619,0.0358412
109.842,0.0349021
108.93,0.0353365
109.585,0.0341611
109.695,0.0346027
109.979,0.0353522
110.253,0.0358752
109.556,0.036053
109.386,0.0358206
109.891,0.036301
110.467,0.0362154
110.641,0.0364156
111.403,0.0352927
112.125,0.0347379
111.682,0.0355449
111.441,0.0361472
111.613,0.0358891
111.638,0.0360294
111.556,0.0353764
109.723,0.0373824
110.433,0.0375235
110.115,0.0369504
111.362,0.0358641
112.132,0.0360956
113.018,0.0357684
113.94,0.035362
113.48,0.0354917
113.465,0.0364366
112.843,0.0362454
113.417,0.0355226
114.98,0.0347912
115.154,0.0353258
114.814,0.0362001
114.132,0.0355355
113.979,0.0356821
113.894,0.0361501
114.925,0.0360926
115.308,0.0358635
115.222,0.0349948
115.32,0.0343252
115.477,0.0343815
